what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287717947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287720208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287722132
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287723676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333287726982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287732057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287734327
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287737953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287741994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287743743
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287747693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287753682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287788802
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287788829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287790204
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287865592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287865661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333287869822
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287873655
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287879032
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1333287880608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287886470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287888299
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287888331
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287889829
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287890062
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287890133
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1333287893181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287895658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287896890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287900788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287958668
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287967883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287982905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287983112
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287990024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287991330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333287993296
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287994886
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333287996236
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333287998520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333288003352
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333288005118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333288008995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333288010708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333288020953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333288030401
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333288032241
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333288032241
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333288033745
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333288033746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333288048658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333288070030
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333288076220
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1333288076357
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1333288077036
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1333288077037
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1333288077038
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1333288077038
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1333288077039
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1333288077040
